//X,Y,Z,R,G,B,C2C absolute distances (Z),C2C absolute distances,C2C absolute distances (X),C2C absolute distances (Y)
10812
0.5757010579,2.2551248074,0.1252295375,255,221,0,0.00032954,0.00067533,-0.00058895,0.00002480
0.5756992102,2.2764258385,0.1276313066,255,208,0,-0.00032869,0.00034614,0.00007921,-0.00007415
0.5756977201,2.2976253033,0.1262231469,255,216,0,0.00061315,0.00064229,0.00007772,-0.00017476
0.5756959319,2.3189263344,0.1286949217,255,202,0,-0.00034508,0.00044695,0.00007594,-0.00027370
0.5756947398,2.3402247429,0.1247266904,255,223,0,-0.00173331,0.00175664,0.00007474,-0.00027537
0.5756940842,2.3615210056,0.1153774783,237,255,0,-0.00057252,0.00064116,0.00007409,-0.00027895
0.5756935477,2.3828172684,0.1055002585,186,255,0,-0.00072974,0.00082726,0.00007355,-0.00038266
0.5756918788,2.4040176868,0.1062090769,190,255,0,0.00038908,0.00041282,0.00007188,0.00011778
0.5756887794,2.4253232479,0.1203708574,255,246,0,-0.00154914,0.00291968,-0.00127125,0.00212336
0.5756857395,2.4466285706,0.1345356405,255,171,0,-0.00046436,0.00046987,0.00006574,0.00002861
0.5756840706,2.4679286480,0.1347774118,255,171,0,-0.00137259,0.00150066,-0.00060594,0.00002861
0.5756828785,2.4891269207,0.1307892352,255,191,0,-0.00215076,0.00215292,0.00006288,-0.00007319
0.5756824613,2.5104229450,0.1198160127,255,249,0,-0.00156399,0.00173608,0.00073248,-0.00017715
0.5756824017,2.5317170620,0.1054427996,186,255,0,0.00188280,0.00198685,-0.00060761,-0.00018287
0.5756795406,2.5530219078,0.1172625721,248,255,0,-0.00034743,0.00044893,0.00005955,-0.00027800
0.5756769776,2.5743253231,0.1260763556,255,216,0,-0.00052364,0.00061916,0.00005698,0.00032544
0.5756747723,2.5955276489,0.1325381696,255,182,0,-0.00145184,0.00152771,0.00005478,-0.00047231
0.5756734610,2.6168267727,0.1298099458,255,196,0,-0.00156005,0.00157734,0.00005347,0.00022674
0.5756728053,2.6381230354,0.1206217408,255,244,0,-0.00087826,0.00088841,0.00005281,0.00012302
0.5756725073,2.6594183445,0.1082935110,201,255,0,-0.00098649,0.00114645,0.00005251,-0.00058174
0.5971881151,0.4252074063,0.1278979480,255,210,0,-0.00022206,0.00059312,-0.00044191,0.00032741
0.5971863270,0.4464881122,0.1297697425,255,201,0,-0.00154026,0.00188896,0.00021631,-0.00107190
0.5971848965,0.4677675664,0.1283515394,255,208,0,0.00253154,0.00268469,0.00021487,0.00086758
0.5971831083,0.4890482724,0.1300833225,255,199,0,0.00958332,0.01399543,-0.00111687,0.01013827
0.5971813798,0.5103186369,0.1309951097,255,194,0,0.01475511,0.01674311,-0.00778860,0.00139862
0.5971795321,0.5315994024,0.1330969036,255,183,0,0.00446691,0.00660645,0.00354952,-0.00333059
0.5971780419,0.5528792739,0.1327586770,255,185,0,0.00246868,0.00258295,0.00020802,-0.00073075
0.5971764922,0.5741589069,0.1318904757,255,189,0,-0.00020953,0.00051650,-0.00045353,-0.00013107
0.5971752405,0.5954377651,0.1288822591,255,205,0,-0.00069775,0.00075227,0.00020522,-0.00019222
0.5971738100,0.6167070270,0.1269340515,255,215,0,-0.00066595,0.00074802,0.00020379,-0.00027299
0.5971727371,0.6379854083,0.1227458417,255,237,0,-0.00009416,0.00040241,0.00020272,-0.00033462
0.5971714258,0.6592642665,0.1197116300,255,252,0,-0.00053837,0.00063266,0.00020140,0.00026429
0.5971695185,0.6805452704,0.1223794147,255,239,0,-0.00024059,0.00055865,-0.00046051,0.00020528
0.5971675515,0.7018265724,0.1258312166,255,221,0,0.00010122,0.00026598,0.00019753,0.00014657
0.5971660018,0.7230966091,0.1258130074,255,221,0,-0.00070699,0.00084828,-0.00046402,0.00006664
0.5971645713,0.7443760633,0.1243947893,255,228,0,-0.00175521,0.00219334,-0.00113541,-0.00066394
0.5971648693,0.7656490207,0.1061235741,186,255,0,0.00005358,0.00021419,0.00019485,-0.00007099
0.5971623063,0.7869323492,0.1147633567,231,255,0,-0.00013664,0.00026823,0.00019228,-0.00012767
0.5971602201,0.8082141280,0.1193671450,255,254,0,-0.00045285,0.00052516,0.00019020,-0.00018585
0.5971586108,0.8294845223,0.1202859357,255,249,0,-0.00158407,0.00184932,0.00018859,-0.00093549
0.5971574783,0.8507626057,0.1153627262,234,255,0,-0.00096727,0.00103824,0.00018746,-0.00032741
0.5971561074,0.8720417619,0.1132015139,223,255,0,0.00100151,0.00114082,-0.00047392,0.00027174
0.5971538424,0.8933242559,0.1196263060,255,252,0,0.01364630,0.01483561,-0.00581616,0.00021428
0.5971516371,0.9146066904,0.1260491014,255,219,0,0.00017910,0.00053146,-0.00047839,0.00014669
0.5971493125,0.9358791709,0.1324008852,255,186,0,0.00109088,0.00110835,0.00017929,0.00007915
0.5971472263,0.9571611285,0.1373526752,255,160,0,0.00072268,0.00074417,0.00017720,0.00001115
0.5971455574,0.9784411192,0.1374444664,255,160,0,0.00060447,0.00063133,0.00017554,-0.00004888
0.5971441865,0.9997202754,0.1352562457,255,171,0,-0.00147375,0.00167637,0.00017416,-0.00077969
0.5971432924,1.0210280418,0.1292180270,255,202,0,-0.00018197,0.00030444,0.00017327,-0.00017190
0.5971410275,1.0422303677,0.1353498399,255,170,0,-0.00088017,0.00093630,0.00017101,-0.00026965
0.5971394181,1.0635303259,0.1351716220,255,171,0,-0.00089838,0.00098612,0.00016940,-0.00036967
0.5971381068,1.0848292112,0.1323934048,255,186,0,-0.00068660,0.00079820,0.00016809,-0.00037074
0.5971376300,1.1061253548,0.1223051846,255,238,0,-0.00478482,0.00538949,0.00016761,-0.00247467
0.5971364379,1.1274238825,0.1184159592,251,255,0,-0.00093404,0.00106152,0.00016642,-0.00047612
0.5971346498,1.1486244202,0.1197887808,255,251,0,0.00430878,0.01209958,0.00083464,-0.01127553
0.5971327424,1.1699255705,0.1227205619,255,236,0,0.00271056,0.00315116,0.00083274,-0.00137448
0.5971310139,1.1912263632,0.1248123422,255,225,0,-0.00047766,0.00050942,0.00016099,-0.00007367
0.5971295238,1.2125258446,0.1235641241,255,231,0,0.00018413,0.00025464,0.00015950,-0.00007415
0.5971277356,1.2337265015,0.1251459420,255,223,0,0.00300594,0.00325450,-0.00117224,0.00042653
0.5971258283,1.2550275326,0.1278677285,255,209,0,-0.00085227,0.00487140,-0.00184417,0.00442755
0.5971233249,1.2763307095,0.1362895072,255,165,0,0.00305951,0.00511355,0.00282335,-0.00296926
0.5971211791,1.2976329327,0.1418612897,255,136,0,-0.00043871,0.00074983,-0.00050884,0.00033295
0.5971187949,1.3189358711,0.1493330598,255,97,0,0.00033306,0.00043441,0.00014877,0.00023592
0.5971174240,1.3401350975,0.1472748816,255,108,0,-0.00013512,0.00024131,0.00014740,0.00013506
0.5971165299,1.3614324331,0.1406066567,255,142,0,-0.00033334,0.00067431,0.00014651,-0.00056756
0.5971168280,1.3827255964,0.1228584424,255,234,0,0.00166845,0.00584908,-0.00451314,0.00332558
0.5971170664,1.4040187597,0.1051052213,182,255,0,0.00004522,0.00051529,-0.00051296,0.00001872
0.5971146822,1.4252215624,0.1123620421,220,255,0,0.00020204,0.00030593,0.00014466,-0.00017846
0.5971124768,1.4465240240,0.1184168160,252,255,0,-0.00076319,0.00088462,0.00014246,0.00042403
0.5971108675,1.4678238630,0.1181776002,250,255,0,-0.00141240,0.00144601,0.00014085,-0.00027609
0.5971097946,1.4891220331,0.1137083769,227,255,0,-0.00085162,0.00090669,0.00013977,-0.00027800
0.5971086025,1.5104205608,0.1094941646,205,255,0,-0.00023583,0.00042140,0.00013858,0.00032055
0.5971066356,1.5316218138,0.1130829826,224,255,0,-0.00034702,0.00043394,0.00013661,0.00022185
0.5971045494,1.5529234409,0.1173997521,246,255,0,0.00095975,0.00110112,-0.00052547,0.00012338
0.5971036553,1.5742212534,0.1112835407,215,255,0,-0.00063646,0.00066154,0.00013363,0.00012124
0.5971030593,1.5955173969,0.1016453207,165,255,0,-0.00015468,0.00020476,0.00013304,0.00001740
0.5971026421,1.6167131662,0.0905021355,106,255,0,0.00071914,0.00289422,-0.00252736,0.00121319
0.5971010923,1.6380127668,0.0895719230,102,255,0,0.00089093,0.00105290,-0.00052893,-0.00018728
0.5970995426,1.6593128443,0.0898156986,103,255,0,0.00010670,0.00025137,0.00012952,-0.00018716
0.5970966220,1.6806178093,0.1022674739,168,255,0,-0.00158253,0.00164164,0.00012660,0.00041783
0.5970937014,1.7019225359,0.1147202626,233,255,0,-0.00145974,0.00427553,-0.00320631,0.00242257
0.5970907807,1.7231273651,0.1271770895,255,211,0,-0.00048292,0.00054724,0.00012076,0.00022733
0.5970888138,1.7444287539,0.1308388710,255,192,0,0.00029887,0.00057052,0.00011879,-0.00047123
0.5970874429,1.7657279968,0.1287706345,255,203,0,-0.00046937,0.00067589,0.00011742,-0.00047195
0.5970866680,1.7870249748,0.1208124161,255,245,0,0.00019242,0.00025737,0.00011665,0.00012493
0.5970848203,1.8083257675,0.1229742020,255,233,0,-0.00100580,0.00102011,0.00011480,0.00012577
0.5970835090,1.8295247555,0.1205630153,255,246,0,-0.00009698,0.00016716,0.00011349,-0.00007522
0.5970824957,1.8508226871,0.1150287911,234,255,0,0.00066879,0.00101011,-0.00054753,0.00052273
0.5970823765,1.8721172810,0.1011005715,163,255,0,0.00169457,0.00170810,0.00011235,-0.00018275
0.5970821977,1.8934119940,0.0874503553,91,255,0,0.00058036,0.00094820,-0.00054783,0.00051200
0.5970790982,1.9146174192,0.1014721766,164,255,0,0.00927518,0.01054318,-0.00055093,-0.00498259
0.5970760584,1.9359228611,0.1154949591,237,255,0,-0.00126504,0.00264717,0.00010604,0.00232291
0.5970730186,1.9572283030,0.1295167357,255,199,0,0.00029674,0.00038830,0.00010300,0.00022829
0.5970711708,1.9785292149,0.1318085194,255,187,0,-0.00024147,0.00034798,0.00010115,0.00022924
0.5970697403,1.9998283386,0.1297402978,255,198,0,-0.00002970,0.00016526,0.00009972,0.00012839
0.5970688462,2.0210254192,0.1228821129,255,234,0,-0.00034789,0.00036255,0.00009882,0.00002551
0.5970675945,2.0423245430,0.1199468970,255,249,0,-0.00104310,0.00118746,-0.00056243,-0.00007534
0.5970662832,2.0636234283,0.1173306704,247,255,0,-0.00105933,0.00106645,0.00009626,-0.00007653
0.5970647335,2.0849230289,0.1167154536,244,255,0,-0.00137454,0.00148824,-0.00056529,-0.00007701
0.5970639586,2.1061203480,0.1088932753,203,255,0,-0.00078672,0.00084022,0.00009394,-0.00027966
0.5970631838,2.1274173260,0.1013490558,164,255,0,-0.00080094,0.00085449,0.00009316,-0.00028276
0.5970612764,2.1487183571,0.1043028384,180,255,0,0.00137284,0.00217271,0.00009125,-0.00168157
0.5970581770,2.1700239182,0.1183476150,252,255,0,0.00056762,0.00201274,0.00075817,-0.00177598
0.5970554352,2.1913280487,0.1294763982,255,198,0,0.00031640,0.00039933,0.00008541,0.00022817
0.5970534682,2.2125296593,0.1331582069,255,179,0,0.00002821,0.00015678,0.00008345,0.00012970
0.5970517993,2.2338299751,0.1340299994,255,174,0,0.00030001,0.00031240,0.00008178,0.00003004
0.5970503092,2.2551295757,0.1328317672,255,181,0,-0.00000823,0.00008595,0.00008029,0.00002956
0.5970489979,2.2764284611,0.1298535466,255,196,0,0.00004354,0.00011510,0.00007898,-0.00007153
0.5970476270,2.2976274490,0.1276053786,255,208,0,-0.00016463,0.00025084,0.00007761,-0.00017262
0.5970458388,2.3189284801,0.1298871636,255,196,0,-0.00001283,0.00028224,0.00007582,-0.00027156
0.5970444083,2.3402276039,0.1283389330,255,204,0,-0.00006106,0.00028901,0.00007439,-0.00027251
0.5970433354,2.3615255356,0.1226807088,255,234,0,-0.00073929,0.00079198,0.00007331,-0.00027442
0.5970428586,2.3828215599,0.1120834947,220,255,0,-0.00023650,0.00045211,0.00007284,-0.00037837
0.5970422029,2.4040184021,0.1037103087,177,255,0,-0.00101969,0.00102909,0.00007218,0.00011849
0.5970392227,2.4253234863,0.1168460920,246,255,0,0.00118610,0.00530441,0.00407922,-0.00317645
0.5970362425,2.4466283321,0.1299878657,255,195,0,0.00056787,0.00057242,0.00006622,0.00002837
0.5970342755,2.4679296017,0.1330596507,255,179,0,-0.00083035,0.00083336,0.00006425,0.00002956
0.5970329642,2.4891285896,0.1305714697,255,192,0,-0.00138853,0.00139180,0.00006294,-0.00007153
0.5970322490,2.5104253292,0.1220532507,255,237,0,-0.00212675,0.00213482,0.00006223,-0.00017476
0.5970321298,2.5317199230,0.1080750301,200,255,0,-0.00164497,0.00165595,0.00006211,-0.00018001
0.5970306396,2.5530195236,0.1068528146,193,255,0,-0.00007719,0.00073573,-0.00059938,0.00041962
0.5970276594,2.5743246078,0.1201945916,255,246,0,-0.00029541,0.00044276,0.00005764,0.00032473
0.5970248580,2.5955290794,0.1317704022,255,186,0,-0.00081959,0.00085278,0.00005484,0.00022912
0.5970230699,2.6168298721,0.1336121857,255,176,0,-0.00159782,0.00161514,0.00005305,0.00022984
0.5970219970,2.6381278038,0.1287439764,255,201,0,-0.00102602,0.00171706,0.00072199,-0.00117230
